gt,hyp
قلت لي إصابة padel أجل yeah, قلت لي إصابة padel أجل yeah
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز فيصل وإستحاد الغولف والحين padel وش قصتك مع الرياضة
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, اتقل من قبل انواع الرياضة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, انا was fortunate enough يعني محظوظ جدا انه كان عندنا access لان الوالد كان ضابط من القائد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه صافات وذاو
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, بدأنا من هناك بدأت معاهم اروح معاهم كل weekend وذا
إعاقة او handicap, دعاقة و handicap
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك,
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديدة القديمة نسبيا هل لست تلاقي وقت للرياضة yeah
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, اذا احد اتصل علي اوكي تعال خلن نجلس نتقابل
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, مقابلين الكلام هذارحت للدخول والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذار
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, حتى ال social activities اللي تكون موجودة العائلة يكونوا معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, اشتركوا في القناة
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الصمارات العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, denmo الحراك حق التحول الاقتصادي فالسعودية من 2015 إلى اليوم
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كانت رئيس تنفيذي للسعودي الفرنسي capital وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة,
i was brought in على شان التأسيس مركز اتخاذ دعم القرار, i was brought in علشان تأسيس مركز اتخاذ دعم القرار
كانت فكرة سمو الأمير انه معظم القرارات اللي تكون موجودة based على الopinion على الرأي,
وليست based على الأدلة او الevidence, وليست based على الأدلة او الevidence
فا عطانا الرؤية حقته وسألته يعني انا ما ما اشتغلت ايش علاقة banker في مركز دعم اتخاذ القرار فقال لأنه الbankers,
ما يستخدموا فقط الرأي انه my gut feeling انه to go and buy this ولا سوا كذا, اشتركوا في القناة
السعودي الفرنسي capital معروف يعني كان الأول ما أحد يعرفه, ترجمة نانسي قبل
وسوينا فيها كمان يعني الdeals,
فا كنا access نعطي access للclients حقينا,
لأنه يدخلوا مثلا مع black rock مع كل ال اء,
كان بالنسبة ibos قبلها ال كان سوق الأسهم, من كان بنسبة للابواز قبلها ال كانسل بالأسهم
الظاهر سبعين شركة يوم طلعت كان مية وأربعين شركة so double dub القيمة السوقية كمان كبرت,
كنت كمان المسؤول عن الmna activities اللي هي الاندماج و الاستحواذ الاستحواذ كنت مسؤول عن, كنت كمان المسؤول عن ال mna activities اللي هي الاندماج والاستحواذ كنت مسؤول عن
يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو, يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو
اء ال accessibility للمستثمرين الأجانب فالسوق السعودي, ال accessibility للمستثمرين الأجانب في السوق السعودي
اء يعني كان بالنسبة للsystems وكيف تسويها او الprocesses ومن الكلام ذا, ان كان بالنسبة للsystems وكيف تسويها والprocesses ومن الكلام ذا
so بعد شهر من بداياتي مع ال مع الديوان,
لكن وفالقروض وفي أشياء كثيرة من النواحي التنموية وليست كا sovereign wealth fund,
فقلت له ok تكلمت مع اء هيئة السوق المالية قلت لهم عطوني ال اء أسماء,
وجبت يعني جبت الأسماء كاملة والملفات and everything,
و i was going through the names يعني و name by name فا ما كان مقتنع بشكل كامل بمعظم الأسماء قال لا جيب لي أحد ثاني, فما كان مقتنع بشكل كامل بمعظم الأسماء قال لا جيب لي أحد ثاني
and we were going through everything وش كان وش كان محتوى هذاك الاجتماع ال اء المحتوى حطينا يعني الblueprint,
الان اء وش كانت رؤيته في ذيك اللحظة حنا نتكلم على الفين وخمسطعش لسى قبل ما الناس تدري عن الصندوق الفين وخمسطعش again سمو الأمير اعتمد على معلومات اكثر من رأي, ماشا كنت رؤيته في ذيك اللحظة حنا نتكلم على الفين وخمسطعش لسى قبل ما الناس تدري عن صندوق آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آ 
so اول شيء سويناه, اول شيء سوينا
فحص كامل diagnostic, فحص كامل diagnostic
ايش هي الpros الcons الأشياء اللي نسويها الأشياء اللي ما نسويها هذا رقم واحد, ايش هي الpros الcons الأشياء اللي نسويها الأشياء اللي ما نسويها هذا رقم واحد
رقم اثنين benchmark, بجمال ثنين بنشمارك
الsovereign wealth funds فالعالم يسوونه, الصورة والفاعل في العالم يسوونه
so اول صندوق sovereign wealth funds فالعالم كان صندوق ال ال اللي هو الكويت, اول صندوق sovereign wealth fund فالعالم كان صندوق الهو الكويت
norges bankالأقدم الكويتي الاقدم الكويتي مثل ال norges bank الاستراتيجية حقته, نورجس بانك
صندوق واحد passive invisment ايش يعني passive يعني يجي يشتري يقول ابغى خمسة بالمية من الpublic market اللي موجودة فالعالم,
لقينا انه ال اء المملكة او sovereign wealth funds بحاجة الى at least six pools of investments, لقانا انه المملكة او sovereign wealth fund بحاجة الى at least six pools of investments
نبغى اول شيء saudi equity اللي هو نملكه الان يعني في الفين وخمس طعش,
هذا one pool, هذا ومتور
second pool is sectors اللي كانت موجودة فالمملكة كثير منها either غير موجودة او dormant, second pool is sectors اللي كانت موجودة في المملكة كثير منها either غير موجودة او dormant
او انها تعبانه either تعبانه لانه مافيه,
استثمار كامل او regulations ضد تطوير الsectors هذي او ما فيه regulations من الأساس تسمح بالدخول فيها excactly, اشتركوا في القناة
الpool الثالث اللي هو الطابع العقاري giga projects, اوه
موجود ففكره neom موجود القدية موجود الred sea موجود roshen موجود كل الأشياء هذا فالفكر اللي موجود عنده والرؤية اللي موجودة عنده,
