gt,hyp
قلت لي إصابة padel أجل yeah,
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, وش علاقتك مع الرياضة أشوفك تلعب تنس معنامي عديز فيصل واستحاد القولف والحين بادل وش قصتك مع الرياضة 
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, كان في الصلاة الموجودة وجايبين معاهم أعتقد united state sports academy مدربين في كل أنواع الرياضة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, أنا واس فورتنة اناف يعني محظوظ جدا إنه كان عندنا access لأن الوارد كان ضابط من القاعد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, ندور لهم على سبورتس ما فيها يعني اقل احتكاك جسدي أو يعني ما فيها صابات هذا
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, وبدأنا من هناك بدأت معاهم وروح معاهم كل ويكند
إعاقة او handicap,
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك, فكيف تقدر كل مرة تفوز على نفسك أو على الإعاقة حقتك أو الهانديكاب حقي
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديد القديمة نسبيا هل لست تلاقي وقت للرياضة يات
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, اذا حد تصل علي اوكي تعال خلن نجس نتقابل فاتس
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, والعائلة هذا اطلما في الموضوع انهم متفاهيمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, حتى السوشال اكتيبيتيز اللي تكون موجودة العائلة يكونوا معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, فيها ويكون فيها بزنس صار جزء من نمط الحياة اصلا لو ما سوا شيئ زي كذا حاس انه في
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح في سين اغس حنا بوفيصلة وعدان اسطليفك بصفتك المحافظ دي صندوق صمارت العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, الدينامو الحراك حق التحول الاقتصادي في السعودية من 2015 إلى اليوم
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كنت رئيس تنفيذي للسعود الفرنسي وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة, رحت للديوان انا توازنت للسندق الاستمرارات الاهمة
i was brought in على شان التأسيس مركز اتخاذ دعم القرار, i was brought in علشان تأسيس مركز اتخاذ دعم القرار
كانت فكرة سمو الأمير انه معظم القرارات اللي تكون موجودة based على الopinion على الرأي, كانت فكرة سمو الأمير أنه معظم القرارات اللي تكون موجودة باست على الابنين على الرأي
وليست based على الأدلة او الevidence, وليست paste على الادلة او الابدنس
فا عطانا الرؤية حقته وسألته يعني انا ما ما اشتغلت ايش علاقة banker في مركز دعم اتخاذ القرار فقال لأنه الbankers, فأعطان الرؤية حقته وسألت يعني أنا ما مشتغلت فيهش لا زي كذلك في شعلقة بانكر في مركز داكس خلقرا فقال اللي أن البانكرز
ما يستخدموا فقط الرأي انه my gut feeling انه to go and buy this ولا سوا كذا, ما يستخدم فقط الرأيي مايغدفيلن انه لاتجم باييه او لا اسوي كبه
السعودي الفرنسي capital معروف يعني كان الأول ما أحد يعرفه, السعود الفرنسي كابتل معروف يعني كان الاول ما حد يعرفه
وسوينا فيها كمان يعني الdeals, و سوانا فيه كمان يعني deals
فا كنا access نعطي access للclients حقينا, فكنا access نعطي access للclients حقيين
لأنه يدخلوا مثلا مع black rock مع كل ال اء, لانه يدخلوا مثلا مع بلاك روك مع كل الـ
كان بالنسبة ibos قبلها ال كان سوق الأسهم, كان بالنسبة للآي بيواز قبلها الـ cancel الاسهم
الظاهر سبعين شركة يوم طلعت كان مية وأربعين شركة so double dub القيمة السوقية كمان كبرت, 71 شركة يوم طلعت كان 140 شركة سويد دابل داب القيمة السوقية كمان كبرت
كنت كمان المسؤول عن الmna activities اللي هي الاندماج و الاستحواذ الاستحواذ كنت مسؤول عن, كنت كمان مسؤول عن الـ m a activities اللي هي الاندماج والاستحواذ كنت مسؤول عن
يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو, يعني زي الريتس اللي هي السندوق الإعطارية كانت معي كان معي برضه
اء ال accessibility للمستثمرين الأجانب فالسوق السعودي, ال ال اكسيسبلتي للمستثمرين الجانب في السوق السعودي
اء يعني كان بالنسبة للsystems وكيف تسويها او الprocesses ومن الكلام ذا, إن كان بالنسبة للsystems وكيف تسويها والprocesses ومن الكلام ده
so بعد شهر من بداياتي مع ال مع الديوان, سو بعد شهر من بدايتي مع الـd1
لكن وفالقروض وفي أشياء كثيرة من النواحي التنموية وليست كا sovereign wealth fund, لكن في القروض وفي اشياء كثيرة من النواحي التنموية وليست كـ sovereign wealth fund
فقلت له ok تكلمت مع اء هيئة السوق المالية قلت لهم عطوني ال اء أسماء, فقلت له اوكي تكلمت مع الهائة السوق المارية قلت لهم يعطوني الأسماء
وجبت يعني جبت الأسماء كاملة والملفات and everything, وجبت يعني جبت الأسماء كاملة والملفات and everything
و i was going through the names يعني و name by name فا ما كان مقتنع بشكل كامل بمعظم الأسماء قال لا جيب لي أحد ثاني, i was going through the names يعني name by name فما كان مقتنع بشكل كامل بمعظم الأسماء قال لا جيب لي أحد ثاني
and we were going through everything وش كان وش كان محتوى هذاك الاجتماع ال اء المحتوى حطينا يعني الblueprint, and we were going through everything واش كان محتوى ذاك الاجتماعي المحتوى حطينا البلوبرينت
