gt,hyp
قلت لي إصابة padel أجل yeah,
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, واش علاقتك مع الرياضة اشوفك تلعب تونس معنامي العديز فيصل واستحاد القولف والحين بادل واش قصتك مع الرياضة 
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, كان في الصلاة الموجودة وجايبين معاهم اعتقد ينادي ستيت سبورتس اكادمي مدربين في كل انواع الرياضة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, أنا واس فورتينيثناف يعني محظوظ جدا إنه كان عندنا اكسز لأن الوارد كان ضابط من القائد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, ندور لهم على سبورتس ما فيها يعني اقل احتكاءك جسدي أو يعني ما فيها إصابات ذا 
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, وبدأنا من هناك بدأت معهم اروح معاهم كل weekend وذا
إعاقة او handicap, اعاقة وهانديكاب
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك, فكيف تقدر كل مرة تفوز على نفسك أو على الإعاقة حقاتك أو الهانديكاب حقي
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديدة القديمة نسبيا هل لست تلاقي وقت للرياضة
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, إذا أحد اتصل عليه أوكي تعال خل نجس نتقابل فإه
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, والآلة هذا أفضل ما في الموضوع انه متفهمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, حتى الsocial activities اللي تكون موجود العائلة يكونوا معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, فيها و يكون فيها business فعام يعني صارت جزء من نمط الحياة اصلا لو ما سوي شي كذا حس انه في
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صاحيح في سيناغس فانه part of it حنبو فيصل سعدانا صغيرك وصفتك المحافظ لي صندوق صمارة العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, دينامو الحراك حق التحول الاقتصادي في السعودية من 2015 الى اليوم
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كنت رئيس تنفيذي للسعود الفرنسي وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة, رحت للديوان أنا توازنت لصندوق الاستثمارات الأهمة
i was brought in على شان التأسيس مركز اتخاذ دعم القرار, i was brought in علشان تأسيس مركز إتخاذ دعم القرار
كانت فكرة سمو الأمير انه معظم القرارات اللي تكون موجودة based على الopinion على الرأي, كانت فكرة سموه العمير انه معظم القرارات اللي تكون موجودة باست على الابنين على الرأي
وليست based على الأدلة او الevidence, وليست بيست على الادلة أو الافيدنس
فا عطانا الرؤية حقته وسألته يعني انا ما ما اشتغلت ايش علاقة banker في مركز دعم اتخاذ القرار فقال لأنه الbankers, فأعطان الرؤية حقته وسألته يعني أنا ما مشتغلت فيهش لازلك فقال اللي أنوا البانكرز
ما يستخدموا فقط الرأي انه my gut feeling انه to go and buy this ولا سوا كذا, ما يستخدموا فقط الرأي ماييغتفيلن نو تجو وانبييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييي
