gt,hyp
قلت لي إصابة padel أجل yeah, قلت لي إصابة padel أجل yeah
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز فيصل واستحاد الغولف والحين padel وش قصتك مع الرياضة
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, اتقل انواع الرياضة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, انا was fortunate enough يعني محظوظ جدا انه كان عندنا access لان الوالد كان ضابط من القائد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه اصابات وذالا
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, اردت معاهم اروح معاهم كل weekend وذاوقال ما ارتفاعه
إعاقة او handicap, إعاقة و handicap
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك,
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديدة القديمة نسبيا هل لست تلاقي وقت للرياضة yeah
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, اذا احد اتصل علي اوكي تعال خلن نجلس نتقابل
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, مقابل من حياة الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, وحتى ال social activities اللي تكون موجودة العائلة يكونون معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, فيها ويكون فيها business فا يعني صار جزء من نمط الحياة اصلا لو ما سواية شيء زي كذا حسنه فيه
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح فيه شيء ناقص فا its part of it حنا ابو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الصمارات العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, اتركوا في القناة
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كانت رئيس تنفيذي للسعودي الفرنسي capital وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة,
i was brought in على شان التأسيس مركز اتخاذ دعم القرار, i was brought in علشان تأسيس مركز اتخاذ دعم القرار
كانت فكرة سمو الأمير انه معظم القرارات اللي تكون موجودة based على الopinion على الرأي,
وليست based على الأدلة او الevidence,
فا عطانا الرؤية حقته وسألته يعني انا ما ما اشتغلت ايش علاقة banker في مركز دعم اتخاذ القرار فقال لأنه الbankers,
ما يستخدموا فقط الرأي انه my gut feeling انه to go and buy this ولا سوا كذا, اشتركوا في القناة
السعودي الفرنسي capital معروف يعني كان الأول ما أحد يعرفه, سعود الفرنسي capital معروف يعني كان الأول ما أحد يعرفه
وسوينا فيها كمان يعني الdeals, وصو ى هنا فيها كمان يعني الdeals
فا كنا access نعطي access للclients حقينا,
لأنه يدخلوا مثلا مع black rock مع كل ال اء,
كان بالنسبة ibos قبلها ال كان سوق الأسهم, وكان بنسبة لعبوز قبلها ال كانسل بالأسهم
الظاهر سبعين شركة يوم طلعت كان مية وأربعين شركة so double dub القيمة السوقية كمان كبرت,
كنت كمان المسؤول عن الmna activities اللي هي الاندماج و الاستحواذ الاستحواذ كنت مسؤول عن, كنت كمان المسؤول عن ال mna activities اللي هي الاندماج والاستحواذ كنت مسؤول عن
يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو, يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو
اء ال accessibility للمستثمرين الأجانب فالسوق السعودي, ال accessibility للمستثمرين الأجانب في السوق السعودي
اء يعني كان بالنسبة للsystems وكيف تسويها او الprocesses ومن الكلام ذا, ان كان بالنسبة للsystems وكيف تسويها والprocesses ومن الكلام ذا
so بعد شهر من بداياتي مع ال مع الديوان,
لكن وفالقروض وفي أشياء كثيرة من النواحي التنموية وليست كا sovereign wealth fund,
فقلت له ok تكلمت مع اء هيئة السوق المالية قلت لهم عطوني ال اء أسماء, فقلت له ok تكلمت مع اه هيئة السوق المالية قلت لهم يعطوني الاسماء
وجبت يعني جبت الأسماء كاملة والملفات and everything,
و i was going through the names يعني و name by name فا ما كان مقتنع بشكل كامل بمعظم الأسماء قال لا جيب لي أحد ثاني, و i was going through the names يعني و name by name فما كان مقتنع بشكل كامل بمعظم الأسماء قال لا جيب لي أحد ثاني
and we were going through everything وش كان وش كان محتوى هذاك الاجتماع ال اء المحتوى حطينا يعني الblueprint, وش كان وش كان محتوى هذاك الاجتماع المحتوى حاطينا يعني ال blue print
الان اء وش كانت رؤيته في ذيك اللحظة حنا نتكلم على الفين وخمسطعش لسى قبل ما الناس تدري عن الصندوق الفين وخمسطعش again سمو الأمير اعتمد على معلومات اكثر من رأي, ماش كنت رؤيته في ذيك اللحظة حنا نتكلم على الفين وخمسطعش لسى قبل ما الناس تدري عن صندوق آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آ
so اول شيء سويناه, اول شيء سوينا
فحص كامل diagnostic, فحص كامل diagnostic
ايش هي الpros الcons الأشياء اللي نسويها الأشياء اللي ما نسويها هذا رقم واحد,
رقم اثنين benchmark, بجمه انتبارك
الsovereign wealth funds فالعالم يسوونه, sovereign wealth funds فالعالم يسوون
so اول صندوق sovereign wealth funds فالعالم كان صندوق ال ال اللي هو الكويت, اول صندوق sovereign wealth fund فالعالم كان صندوق الهو الكويت
norges bankالأقدم الكويتي الاقدم الكويتي مثل ال norges bank الاستراتيجية حقته,
صندوق واحد passive invisment ايش يعني passive يعني يجي يشتري يقول ابغى خمسة بالمية من الpublic market اللي موجودة فالعالم,
لقينا انه ال اء المملكة او sovereign wealth funds بحاجة الى at least six pools of investments, لقائنا انه المملكة او sovereign wealth fund بحاجة الى at least six pools of investments
نبغى اول شيء saudi equity اللي هو نملكه الان يعني في الفين وخمس طعش,
هذا one pool, هذا one pool
second pool is sectors اللي كانت موجودة فالمملكة كثير منها either غير موجودة او dormant, second pool is sectors اللي كانت موجودة في المملكة كثير منها either غير موجودة او dormant
او انها تعبانه either تعبانه لانه مافيه,
استثمار كامل او regulations ضد تطوير الsectors هذي او ما فيه regulations من الأساس تسمح بالدخول فيها excactly, اشتركوا في القناة
الpool الثالث اللي هو الطابع العقاري giga projects, اشتركوا في القناة
موجود ففكره neom موجود القدية موجود الred sea موجود roshen موجود كل الأشياء هذا فالفكر اللي موجود عنده والرؤية اللي موجودة عنده,
فا سويناها محفظة او pool, فسويناها محفظة او pool
مشاريع الكبرى مشاريع الكبرى giga projects حتى الاسم giga يعني قلنا أول شيء mega ايه mega موجودة فكل مكان أي مشروع كبير,
يسمونه mega projects, سمونه mega project
it s not this is giga this is like an eco system كامل, it s not this is giga this is like an ecosystem كامل
الشيء الثالث اللي هو الreal estate والinfastructure, ترجمة نانسي قنقر
بين الsector development وبين على حسب ايش ال ال يعني هذا من الأشياء اللي تم النظر فيها داخليا وين تكون المشاريع مثلا في هذا الpool ولا هذا الpool, بين الـ sector development وبين الـ على حسب ايش ال يعني هاد من الاشياء اللي تم النظر فيها داخليا وين تكون المشاريع مثلا في هذا الpool ولا هذا الpool
فهذي الأربعة first أربع محافظ, فهذه الأربعة first أربع محافظ
والاستثمار الدولي الأول ما كان عندنا تقريبا اقل من خمسة فالمية less than one and a half percent, واستثمار الدولي الأول ما كان عندنا تقريبا less than one and a half percent
وكان اكثره politicly incentives investment مثلا في الدول العربية في من الكلام هذا فما كانت,
فا كان فيه عندنا يمكن استثمار واحد اللي هو في posco steel korea في كوريا كان في اخر, فكان فيه عندنا يمكن استثمار واحد اللي هو في بوسكو ستيل في كوريا كان فيه آخر
الاستثمارات الدولية سوينا برضو محفظتين اللي هي الbalanced portfolio اللي هو يستثمر في كل شيء, ترجمة نانسة
ان كان مع الfund managers, ان كان مع ال fund managers
ان كان في different underlying فالprivate equity فالpublic markets في فيdifferent instruments of الinvestmets, كان فيدفرنة الوضع فيل private equity فيل public markets فيلد فيلد فيلدفرنت uh instruments of investments
هذي اغلبها استثمارات غير مباشرة هذي عبر مدراء صناديق لا حتى مم ممكن تكون direct بس ماهي stratigec, اغلبها استثمارات غير مباشرة استثمارات هذه ممكن تكون direct بس ماهي stratigic
stratigec invesment اللي هيdirect, strategic investments اللي هي direct
او non direct بس تكون لها طابع استراتيجي مثل زي مثلا soft bank vision fund that s a strategic يعني forty five billion dollars, أو non direct بس تكون لها طابع استراتيجي مثل زي مثلا soft bank vision fund that s strategic يعني forty five billion dollars
في صندوق قيمته مئة مليار soft bank نفسهم كانوا حاطين ثمانية وعشرين مليار فيه, في صندوق قيمته مئة مليار soft bank نفسهم كانوا حاطين ثمانية وعشرين مليار فيه
blackstone استثمرنا فالبنية التحتية في أمريكا, blackstone استثمرنا في البنية التحتية في أمريكا
خمسين مليار واحنا حاطين عشرين مليار so it s forty percent of that fund so هذي تعتبر strategic استثمارنا اللي وضعنا, خمسين مليار واحنا حاطين عشرين مليار so it s forty percent of that fund so هاذو تعتبر strategic استثمارنا اللي وضعنا
على الخارطة العالمية للاستثمار في uber, على الخارطة العالمية للاستثمار في uber
اء ما داومت فيه tell you the truth لأنه تم نقل صندوق الاستثمارات العامة من تحت وزارة المالية إلى,
so سمو الأمير قال go and find proper offices لكم , اتفرقوا بك
and رحت هناك كانت تقريبا ماهي جاهزة المدينة الرقمية, عند رحت هناك كانت تقريبا ماهي جاهزة المدينة الرقمية
فيه عمارة وحدة فيها اللي جاهزة اللي هي العمارة حقت الmaintanance الصيانة,
فقلت ممتاز ok let s take, فاقتلت ممتاز ok let s take
يعني جزء منها فا خذينا i remmeber نص دور,
اء region, اشتركوا في القناة
اء was moving out من هيئة السوق المالية وأنا كان يشتغل معي فهيئة السوق المالية, او was moving out من هيئة السوق المالية وانا كان يشتغل معي في هيئة السوق المالية
here is what i want هذا ال mandate اللي عندي , here s what i want هذا المندئت اللي عندي
ودي إني ودي إنك تجي قال ok خلاص جاي, ودي إنك تجي قال لي ok خلاص جاي
طيب ما سألتني وش الراتب وش هذي قالي خلاص مو مشكلة جاي فكان من أول الأشخاص تركي النويصر samething كان جايني,
mandate من سمو الأمير انه نبغى نستثمر اء في فرنسا, من سمو الأمير انه نبغى نستثمر اه في فرنسا
فا تكلمت مع الprevious employer حقي السعودي الفرنسي capital وتركي كان رئيس الاستثمار هناك ال إدارة الأصول, اشتركوا في القناة
they couldn t comprehend what i was talking about ما كانوا مستوعبين إطلاقا ما هم مستوعبين,
فقلت you know what, فقد تنوى وات
i m not gonnna waste time اتصلت على تركي نفس الشيء فالعصر,
اء قلت له here is the thing ابغاك تجي ومش عارف ايش, قلت له here is the thing ابغاك تجي مش عارف ايش
قالي fine زي ردة يزيد ردة فعل يزيد بالضبط, زي ردة يزيد ردة فعل يزيد بالضبط
fine اليوم الثاني الساعة ستة الصباح حنا فالطيارة رايحين فرنسا انا وتركي ويزيد,
يعني هي both of them, ويجب أن يكون محاولا
بالاضافة طبعا لسلطان ومهند they were believers يعني ماكان عندهم حتى معلومات كاملة, ترجمة نانية
بس they believed in the cause, بست ائبالید ان دی قوس
and maybe personally in me بالتأكيد ب اءء اااء اء سمو الأمير محمد, ومن المؤلاء من أغراره لأمير محمد
we moved i remember لمبنى الصيانة فالمدينة الرقمية اخذنا نص دور سوينا أول شيء خمسة مكاتب كانت قزاز يعني أتذكر حتى كنت,
جبنا مقاولين خلص خلصنا أول شيء i think خلال أسبوع الخمسة مكاتب, جبنا مقاولين خلص خلصنا أول شيء i think خلال أسبوع الخمسة مكاتب
today we are تقريبا ألف ثمان مية وشيء قريب الألفين شخص, اليوم نحن تقريبا ألف ثمان مية وشيء قريب الألفين شخص نشتغل في صندوق الستمرات العامة
