gt,hyp
قلت لي إصابة padel أجل yeah, قلتلي صابت بعد الأجل ي ا
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, واش علاقتك مع الرياضة اشوفك تلعبتونس مع المير عديز فيصل واستحاد القولف والحين بادل واش قصتك مع الرياضة
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, اا كان في الصلاة الموجودة وجايبين معهم اعتقد ينايتس ستات سبورتس اكادمي مدربين في كل انواع الرياضة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, and i was fortunate enough يعني محظوظ جدا انه كان عندنا access لأن الوالد كان ضابط من القائد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, مدور لهم على اقل احتكاك جسدي او يعني ما فيها اصابات ذاه
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, وبدينا من هناك بدايت معهم اروح معهم كل weekend وذا
إعاقة او handicap,
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك, فكيف تقدر كل مرة تفوز على نفسك أو على الإعاقة حقاتك أو الhandicap حقي
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديدة القديمة نسبيا هل لست تلاقي وقت للرياضة 
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, اذا حد تصل علي اوكي تعال خلن نجس نتقابل فاتس
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, part of my life الآن والعائلة هذا أصلا في الموضوع انهم متفاهمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, حتى الـ social activities اللي تكون موجود العائلة يكونوا معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, فيها ويكون فيها business فعني صارت جزء من نمط الحياة اصلا لو ما سويت شيء زي كذا حسنه في
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح في سيناجس فهنا بوفيصل سعدان اسطريفك بصفتك المحافظ لصندوق الصمارة العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, الدينامو الحراك حق التحول الاقتصادية في السعودية من 2015 لليوم
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كنت رئيس تنفيذي للسعودي الفرنسي وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة, رحت للديوان انا توزنت للاستمرارة الامة
i was brought in على شان التأسيس مركز اتخاذ دعم القرار, i was brought in علشان التأسيس مركز اتخاذ دعم القرار
