gt,hyp
قلت لي إصابة padel أجل yeah, قلتلي صابة فاد الأجل yeah
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, وش علاقتك مع الرياضة هشوفك تلعب تنس مع الميل عديز فيصل ويستحاد القولف والحين بادل وش قصتك مع الرياضة 
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة,
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, أنا وز فورتنيتناف يعني محظوظ جدا إنه كان عندنا اكساس لأن الوارد كان ضابط من القائد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, ندور لهم على سبورتس ما فيها يعني اقل احتكاءك جسدي أو يعني ما فيها صابات ذاه
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, بدأنا من هناك بدأت معهم وأروح معهم كل ويكند
إعاقة او handicap, إعاقة أو هانديكاب
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك, فكيف تقدر كل مرة تفوز على نفسك أو على الإعاقة حقاتك أو الهندكاب حقي
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديد القديمه نسبيا هل لست تلاقي وقت للرياضة yeah
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, إذا يحد اتصل علي أوكي تعال خنجس نتقابل
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, part of my life الآن والعائلة هذا أطول ما في الموضوع أنه متفهمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, حتى السوشال اكتبيتيز اللي تكون موجودة العائلة يكونوا معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, فيها ويكون فيها business صارت جزء من نمط الحياة اصلا لو ما سويت شيء زي كذا حسنه فيه
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح نحن ابو فيصل سعدان اسطريفك بصفتك المحافظ دي صندوق صمارات العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, الدينامو الحراك حق التحول الاقتصادي في السعودية من 2015 إلى اليوم
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كنت رئيس تنفيذي للسعودي الفرنسي capital وقبلها كنت
