gt,hyp
قلت لي إصابة padel أجل yeah, قلت لي إصابة padel أجل yeah
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز فيصل وإستحاد الغولف والحين padel وش قصتك مع الرياضة
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, اشتركوا في القناة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, and i was fortunate enough يعني محظوظ جدا انه كان عندنا access لان الوالد كان ضابط من القائد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه صفات وذا
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, اروح معاهم كل weekend وذا
إعاقة او handicap, دعاقة و handicap
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك,
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديدة القديمة نسبيا هل لست تلاقي وقت للرياضة yeah
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, اذا احد اتصل علي اوكي تعال خلن نجلس نتقابل
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, part of my life الان والعائلة هذا اصدقى ما في الموضوع انهم متفهمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, وحتى ال social activities اللي تكون موجودة العائلة يكونون معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, ايه صار جزء من نمط الحياة اصلا لو ما سوايت شيء زي كذا حسنه فيهرحت عن طريق نظام
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الصمارات العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, اتمنى ان تردوها مجتمعا 
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كانت رئيس تنفيذي للسعودي الفرنسي capital وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة,
i was brought in على شان التأسيس مركز اتخاذ دعم القرار, i was brought in علشان تأسيس مركز اتخاذ دعم القرار
كانت فكرة سمو الأمير انه معظم القرارات اللي تكون موجودة based على الopinion على الرأي,
وليست based على الأدلة او الevidence,
فا عطانا الرؤية حقته وسألته يعني انا ما ما اشتغلت ايش علاقة banker في مركز دعم اتخاذ القرار فقال لأنه الbankers,
ما يستخدموا فقط الرأي انه my gut feeling انه to go and buy this ولا سوا كذا, ترجمة نانسي قنقر
السعودي الفرنسي capital معروف يعني كان الأول ما أحد يعرفه, وقالة أول ما أحد يعرفه
وسوينا فيها كمان يعني الdeals,
فا كنا access نعطي access للclients حقينا, فكنا access نعطي access للclients حقين
لأنه يدخلوا مثلا مع black rock مع كل ال اء,
كان بالنسبة ibos قبلها ال كان سوق الأسهم, من كان بنسبة لعبوز قبلها ال كانسل بالأسهم
الظاهر سبعين شركة يوم طلعت كان مية وأربعين شركة so double dub القيمة السوقية كمان كبرت,
كنت كمان المسؤول عن الmna activities اللي هي الاندماج و الاستحواذ الاستحواذ كنت مسؤول عن, كنت كمان المسؤول عن ال mna activities اللي هي الاندماج والاستحواذ كنت مسؤول عن
يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو, يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو
اء ال accessibility للمستثمرين الأجانب فالسوق السعودي, اتفاق
اء يعني كان بالنسبة للsystems وكيف تسويها او الprocesses ومن الكلام ذا, ان كان بالنسبة للsystems وكيف تسويها والprocesses ومن الكلام ذا
so بعد شهر من بداياتي مع ال مع الديوان, اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا اذا ا
لكن وفالقروض وفي أشياء كثيرة من النواحي التنموية وليست كا sovereign wealth fund,
فقلت له ok تكلمت مع اء هيئة السوق المالية قلت لهم عطوني ال اء أسماء, فقلت له ok تكلمت مع هاية السوق المالية قلت لهم عطوني الاسماء
وجبت يعني جبت الأسماء كاملة والملفات and everything,
و i was going through the names يعني و name by name فا ما كان مقتنع بشكل كامل بمعظم الأسماء قال لا جيب لي أحد ثاني, you
and we were going through everything وش كان وش كان محتوى هذاك الاجتماع ال اء المحتوى حطينا يعني الblueprint, وش كان وش كان محتوى ذاك الاجتماع المحتوى حاطينه يعني ال blue print
الان اء وش كانت رؤيته في ذيك اللحظة حنا نتكلم على الفين وخمسطعش لسى قبل ما الناس تدري عن الصندوق الفين وخمسطعش again سمو الأمير اعتمد على معلومات اكثر من رأي, ماش كنت رؤيته في ذيك اللحظة حنا نتكلم على الفين وخمسطعش لسى قبل ما الناس تدري عن صندوق آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آآ آ 
so اول شيء سويناه, اشتركوا في القناة
فحص كامل diagnostic, فحص كامل diagnostic
ايش هي الpros الcons الأشياء اللي نسويها الأشياء اللي ما نسويها هذا رقم واحد,
رقم اثنين benchmark, بجمع ثنين بنشمارك
الsovereign wealth funds فالعالم يسوونه, والصورة العالم يسوونه
so اول صندوق sovereign wealth funds فالعالم كان صندوق ال ال اللي هو الكويت, اول صندوق sovereign wealth fund فالعالم كان صندوق الهو الكويتمع الان
