gt,hyp
قلت لي إصابة padel أجل yeah,
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عديز فيصل ويستحاد القولف والحين بادل واش قصتك مع الرياضة 
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, كان في الصلاة الموجودة وجايبين معهم اعتقد يناديدستيتسبورتس اكادومي مدربين في كل انواع الرياضة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, أنا واس فورتينيتناف يعني محظوظ جدا انه كان عندنا اكسز لان الوارد كان ضابط من القائد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, مدور لهم على sports ما فيها يعني اقل احتكاك جسدي او يعني ما فيه اصابات ذاه
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, وبدينا من هناك بدأت معاهم اروح معاهم كل weekend وذا
إعاقة او handicap, الاعاقة وهانديكاب
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك, فكيف تقدر كل مرة تفوز على نفسك أو على الاعاقة حقيتك أو الهنديكاب حقي
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديدة القديمة نسبيا هل لست تلاقي وقت للرياضة 
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, إذا احد تصل علي أوكي تعال خلن نجس نتقابل فإنته
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, part of my life الآن والعائلة هذا أصلا ما في الموضوع أنهم متفاهمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, حتى الـ social activities اللي تكون موجودة العائلة يكونوا معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, فيها ويكون فيها بزنس فاعني صارت جزء من نمط الحياة اصلا لو ما سويت شي زي كذا حاس انه في
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح في سين اقص فات s part of it حنا بوفيصل سعدان اسطيفك بصفتك المحافظ دي صندوق الصمارة العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, الدينامو الحراك حق التحول الاقتصادي في السعودية من 2015 إلى اليوم
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كنت رئيس تنفيذي للسعودي الفرنسي وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة, رحت للديوان متوازنت لسندوق الاستمارات الاهامة
i was brought in على شان التأسيس مركز اتخاذ دعم القرار, i was brought in علشان تأسيس مركز اتخاذ دعم القرار
كانت فكرة سمو الأمير انه معظم القرارات اللي تكون موجودة based على الopinion على الرأي, كانت فكرة سمو العمير أنه معظم القرارات اللي تكون موجودة باست على الابنين على الرأي
وليست based على الأدلة او الevidence, وليست based على الأدلة أو الـ evidence
فا عطانا الرؤية حقته وسألته يعني انا ما ما اشتغلت ايش علاقة banker في مركز دعم اتخاذ القرار فقال لأنه الbankers, فاعطان الرؤية حقته وسألته يعني انا ما مشتغلت فيهش هاي كرة في مركز داكس خذ القراه فقال اللي انو البانكرس
ما يستخدموا فقط الرأي انه my gut feeling انه to go and buy this ولا سوا كذا, ما يستخدم فقط الرأي مايكتفيلن انو تجدوا ومشكل هذا ولا سوي كبه
السعودي الفرنسي capital معروف يعني كان الأول ما أحد يعرفه, السعود الفرنسي كابيتل معروف يعني كان أول ما إحدى عرفه
وسوينا فيها كمان يعني الdeals, و سونا فيها كمان يعني الديلز
فا كنا access نعطي access للclients حقينا, فكنا access نعطي access للclients حقين
لأنه يدخلوا مثلا مع black rock مع كل ال اء, لانه يدخلوا مثلا مع بلاك روك مع كل الـ
كان بالنسبة ibos قبلها ال كان سوق الأسهم, ان كان بالنسبة للآي بي واز قبلها الـ cancel الاسم 
الظاهر سبعين شركة يوم طلعت كان مية وأربعين شركة so double dub القيمة السوقية كمان كبرت, 71 شركة يوم طلعت كان 140 شركة سود دابل داب القيمة السوقية كمان كبرت
كنت كمان المسؤول عن الmna activities اللي هي الاندماج و الاستحواذ الاستحواذ كنت مسؤول عن, كنت كمان مسؤول عن الـ m a activities اللي هي الاندماج والاستحواذ كنت مسؤول عن
يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو, يعني زي الـ reeds اللي هي السندوق العقارية كانت معي كان معي برضو
اء ال accessibility للمستثمرين الأجانب فالسوق السعودي, الاجسيسبوليتي للمستثمرين الجانب في السوق السعودي
اء يعني كان بالنسبة للsystems وكيف تسويها او الprocesses ومن الكلام ذا, ان كان بالنسبه للsystems وكيف تسويها والprocesses ومن الكلام ذه
so بعد شهر من بداياتي مع ال مع الديوان, سو بعد شهر من بداعتي مع الديوان
لكن وفالقروض وفي أشياء كثيرة من النواحي التنموية وليست كا sovereign wealth fund, لكن وفي القروض وفيه أشياء كثيرة من النواحي التنموية وليست كـ sovereign wealth fund
فقلت له ok تكلمت مع اء هيئة السوق المالية قلت لهم عطوني ال اء أسماء, فقلت له اوكي تكلمت مع هيئة السوق المارية قلت لهم عاطوني الأسماء
وجبت يعني جبت الأسماء كاملة والملفات and everything, وجبت يعني جبت الاسماء كاملة والملفات and everything
و i was going through the names يعني و name by name فا ما كان مقتنع بشكل كامل بمعظم الأسماء قال لا جيب لي أحد ثاني, i was going through the names يعني name by name ما كان مقتنع بشكل كامل بمعظم الأسماء قال لا أجيب لي أحد ثاني
and we were going through everything وش كان وش كان محتوى هذاك الاجتماع ال اء المحتوى حطينا يعني الblueprint, وش كان محتوى ذاك الاجتماعي المحتوى حاطينا البلوبرنت
