gt,hyp
قلت لي إصابة padel أجل yeah, قلت لي صابة باد الأجل يه
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, واش علاقتك مع الرياضة أشوفك تلعب تونس مع لمير عديز فيصل واستحاد القولف والحين بادل ماش كصتك مع الرياضة 
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, كان في الصلاة اللي موجوده وجايبين معاههم اعتقد ينادي ستيت سبورتس أكاديمي مدربين في كل انواع الرياضة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, أنا وز فورتنة ناف يعني محظوظ جدا إنه كان عندنا access لأن الوالد كان ضابط من القاعد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, ندور لهم على سبورتس ما فيها يعني أقل احتكاك جسدي او يعني ما فيه اصابات وذا
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, وبدأنا من هناك بدأت معاهم اروح معاهم كل ويكند وذا
إعاقة او handicap,
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك, فكيف تقدر كل مرة تفوز على نفسك أو على الإعاقة حقاتك أو الهانديكاب حقي
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديد القديمة نسبييا هل لست تلاقي وقت للرياضة يه
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, اذا حد تصل علي اوكي تعال خلن نجس نتقابل فإتس
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, part of my life الآن والعائلة هذا أطول ما في الموضوع أنهم متفهمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, حتى social activities اللي تكون موجودة العائلة يكونوا معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, فيها ويكون فيها business فعني صارت جزء من نمط الحياة اصلا لو ما سوي شيء زي كده حسنه في
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح في سين اقص فانت مملك نحن ابو فيصل سعدان اسطليفك بصفتك المحافظ لصندوق الصمارة العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, الدينامو الحراك حق التحول الاقتصادي في السعودية من 2015 إلى اليوم
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كنت الرئيس تنفيذي للسعودي الفرنسي capital وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة, رحت للديوان متوازنت لسندوق الاستمارات العامة
i was brought in على شان التأسيس مركز اتخاذ دعم القرار, i was brought in علشان تأسيس مركز اتخاذ دعم القرار
كانت فكرة سمو الأمير انه معظم القرارات اللي تكون موجودة based على الopinion على الرأي, كانت فكرة سمو الأمير انه معظم القرارات اللي تكون موجودة باست على الابنين على الرأي
وليست based على الأدلة او الevidence, وليست paste على الادلة او الافيدنس
فا عطانا الرؤية حقته وسألته يعني انا ما ما اشتغلت ايش علاقة banker في مركز دعم اتخاذ القرار فقال لأنه الbankers, فعطان الرؤية حقته وسألته يعني أنا ما مشتغلت فيه شايزيك فقال اللي أن البنكرس
ما يستخدموا فقط الرأي انه my gut feeling انه to go and buy this ولا سوا كذا, ما يستخدم فقط الرأي مايييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييي
السعودي الفرنسي capital معروف يعني كان الأول ما أحد يعرفه, السعود الفرنسي capital معروف يعني كان أول ما حدا يعرفه
وسوينا فيها كمان يعني الdeals, وسوانا فيها كمان يعني الـ deals
فا كنا access نعطي access للclients حقينا,
لأنه يدخلوا مثلا مع black rock مع كل ال اء, لانه يدخلوا مثلا مع blackrock مع كل ال
كان بالنسبة ibos قبلها ال كان سوق الأسهم, كان بنسبة لأي بواس قبلها الكنصول بالاسم
الظاهر سبعين شركة يوم طلعت كان مية وأربعين شركة so double dub القيمة السوقية كمان كبرت, يوم طلعت كان 140 شركة صوت دابول داب القيمة السوقية كمان كبرت
كنت كمان المسؤول عن الmna activities اللي هي الاندماج و الاستحواذ الاستحواذ كنت مسؤول عن, كنت كمان مسؤول عن الـ m a activities اللي هي الاندماج والاستحواذ كنت مسؤول عن
يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو, يعني زي الـريتز اللي هي السندق العقارية كان معي برضو
اء ال accessibility للمستثمرين الأجانب فالسوق السعودي, الاجتماعي للمستثمرين الجانب في السوق السعودي
اء يعني كان بالنسبة للsystems وكيف تسويها او الprocesses ومن الكلام ذا, ان كان بالنسبة للsystems وكيف تسويها والprocesses ومن الكلام ده
so بعد شهر من بداياتي مع ال مع الديوان, سو بعد شهر من بدايتي مع الديون
لكن وفالقروض وفي أشياء كثيرة من النواحي التنموية وليست كا sovereign wealth fund, لكن في القروض وفي اشياء كثيرة من النواحي التنموية وليست كـ sovereign wealth fund
فقلت له ok تكلمت مع اء هيئة السوق المالية قلت لهم عطوني ال اء أسماء, فقلت له اوكي تكلمت مع هيئة السوق المالية قلت لهم يعطوني الأسماء
وجبت يعني جبت الأسماء كاملة والملفات and everything, وجبت يعني جبت الأسماء كاملة والملفات and everything
و i was going through the names يعني و name by name فا ما كان مقتنع بشكل كامل بمعظم الأسماء قال لا جيب لي أحد ثاني, i was going through the names يعني name by name فما كان مقتنع بشكل كامل بمعظم الأسماء قال لا أجيب لي أحد ثاني
and we were going through everything وش كان وش كان محتوى هذاك الاجتماع ال اء المحتوى حطينا يعني الblueprint, وش كان محتوى ذاك الاجتماعي المحتوى حطينا البلوبرينت
الان اء وش كانت رؤيته في ذيك اللحظة حنا نتكلم على الفين وخمسطعش لسى قبل ما الناس تدري عن الصندوق الفين وخمسطعش again سمو الأمير اعتمد على معلومات اكثر من رأي, الآن وش كانت رؤيته في ذلك اللحظة حنتكلم على 2015 لست قبل ما الناس تديع عن السلوات اه في 2015 again سمو الأمير يعتمد على المعلومات أكثر من الرأي
so اول شيء سويناه, اول شي سوينا
فحص كامل diagnostic, فحص كامل diagnostic
ايش هي الpros الcons الأشياء اللي نسويها الأشياء اللي ما نسويها هذا رقم واحد, ايشي الــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ
رقم اثنين benchmark, رقم الثاني بنشمارك
الsovereign wealth funds فالعالم يسوونه,
so اول صندوق sovereign wealth funds فالعالم كان صندوق ال ال اللي هو الكويت, so اول صندوق سابرون والفان في العالم كان صندوق اللي هو الكويت
norges bankالأقدم الكويتي الاقدم الكويتي مثل ال norges bank الاستراتيجية حقته, الأقدم الكويتي الأقدم الكويتي مثلا النورجيس بانك الاستراتيجية حقته
صندوق واحد passive invisment ايش يعني passive يعني يجي يشتري يقول ابغى خمسة بالمية من الpublic market اللي موجودة فالعالم, صندوق واحد passive investment إش يعني passive يعني يجي يشتري يقول ابغى 5 من الـ public markets اللي موجودة في العالم
لقينا انه ال اء المملكة او sovereign wealth funds بحاجة الى at least six pools of investments, لقينا انه المملكة او sovereign wealth fund بحاجة الى at least six pools of investments
نبغى اول شيء saudi equity اللي هو نملكه الان يعني في الفين وخمس طعش, نبغى اول شيء السادة اكوتي اللي هو نملك الآن يعني في 2015
هذا one pool, هذا وامفور
second pool is sectors اللي كانت موجودة فالمملكة كثير منها either غير موجودة او dormant, second pool is sectors اللي كانت موجودة في المملكة كثير منها either غير موجودة او dormant
او انها تعبانه either تعبانه لانه مافيه, او انها تعبانة ايدر تعبانة لانه مافي
استثمار كامل او regulations ضد تطوير الsectors هذي او ما فيه regulations من الأساس تسمح بالدخول فيها excactly, استثمار كامل او الregulation ضد تطوير السكتورز هذه او ما فيه regulations من الاساس للسكتورز تسمح بتدخل فيها exactly
الpool الثالث اللي هو الطابع العقاري giga projects, البول الثالث اللي هو اللوت الطابع العقاري
موجود ففكره neom موجود القدية موجود الred sea موجود roshen موجود كل الأشياء هذا فالفكر اللي موجود عنده والرؤية اللي موجودة عنده, موجود فكرة نيوم موجود القدية موجود ريتسي موجود روشن موجود كل أشياء هذا في الفكر اللي موجود عنده والرؤية اللي موجودة عنده
فا سويناها محفظة او pool, فسويناها محفظة أو بطول
مشاريع الكبرى مشاريع الكبرى giga projects حتى الاسم giga يعني قلنا أول شيء mega ايه mega موجودة فكل مكان أي مشروع كبير, مش شاريع الكبرى نيه شاريع الكبرى giga projects حتى الإسم giga يعني قلنا هو سين ميجا ميجا موجودة في كل مكان أي مشروع كبير
يسمونه mega projects,
it s not this is giga this is like an eco system كامل, it s not this is giga this is like an ecosystem كانت
الشيء الثالث اللي هو الreal estate والinfastructure, الشيء الثالث اللي هو الريل استايت والانفرسواكشر
بين الsector development وبين على حسب ايش ال ال يعني هذا من الأشياء اللي تم النظر فيها داخليا وين تكون المشاريع مثلا في هذا الpool ولا هذا الpool, الـ sector development وبين على حسب يعني هذ من الأشياء اللي تم النظر فيها داخليا وين تكون المشاريع مثلا في هذا البول ولا هذا البول 
فهذي الأربعة first أربع محافظ,
والاستثمار الدولي الأول ما كان عندنا تقريبا اقل من خمسة فالمية less than one and a half percent, والاستثمار الدولي الاول ما كان عندنا تقريبا أقل 5 ااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااا
وكان اكثره politicly incentives investment مثلا في الدول العربية في من الكلام هذا فما كانت, مثلا في الدول العربية من الكلام هذا فما كانت
فا كان فيه عندنا يمكن استثمار واحد اللي هو في posco steel korea في كوريا كان في اخر, فكان في عندن يمكن استثمار واحد اللي هو في بوستكوستيل في كوريا كان في آخر
الاستثمارات الدولية سوينا برضو محفظتين اللي هي الbalanced portfolio اللي هو يستثمر في كل شيء, الاستثمارات الدولية سوينه برضه محفظتان اللي هي الـ balanced portfolio اللي هو يستثمر في كل شيء
ان كان مع الfund managers, ان كان مع الفند منجرس
ان كان في different underlying فالprivate equity فالpublic markets في فيdifferent instruments of الinvestmets, كان في دفرنة الــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ
هذي اغلبها استثمارات غير مباشرة هذي عبر مدراء صناديق لا حتى مم ممكن تكون direct بس ماهي stratigec, فهذه أغلب استثمارات غير مباشرة عبر السوق عبر المدراء صناديج لا حتى ممكن تكون direct بس ما هي strategic
stratigec invesment اللي هيdirect, strategic investments اللي هي direct
او non direct بس تكون لها طابع استراتيجي مثل زي مثلا soft bank vision fund that s a strategic يعني forty five billion dollars, او non direct بس تكون لها طابع استراتيجي مثل زي مثلا softbank vision fund that s strategic يعني 45 billion dollars
في صندوق قيمته مئة مليار soft bank نفسهم كانوا حاطين ثمانية وعشرين مليار فيه, في صندوق gametube 100 مليار softbank نفسهم كانوا حاطين 28 مليار فيه
blackstone استثمرنا فالبنية التحتية في أمريكا, بلاكستون استثمرنا في البنية التحتية في أمريكا
خمسين مليار واحنا حاطين عشرين مليار so it s forty percent of that fund so هذي تعتبر strategic استثمارنا اللي وضعنا, خمسين مليار واحنا حاطين 20 مليار so it s 40 of that fund so هذا تعتبر استراتيجي استثمارنا اللي وضعنا
على الخارطة العالمية للاستثمار في uber, على الخارطة العالمية للاستثمار في أوبر
اء ما داومت فيه tell you the truth لأنه تم نقل صندوق الاستثمارات العامة من تحت وزارة المالية إلى, ما دوم تشير لانو تم نقل الصندوق الاستمرارات العام من تحت وزارة المالية الى
so سمو الأمير قال go and find proper offices لكم , so اسمه الامير قال go and find proper offices like them
and رحت هناك كانت تقريبا ماهي جاهزة المدينة الرقمية, عند رحت هناك كانت تقريبا ما هي جاهزة المدينة الرغمية
فيه عمارة وحدة فيها اللي جاهزة اللي هي العمارة حقت الmaintanance الصيانة, في عمارة واحدة فيها اللي جاهزة اللي هي العمارة حقت الـ maintenance الصيانه
فقلت ممتاز ok let s take, فقلت متاز أوكي let s take
يعني جزء منها فا خذينا i remmeber نص دور, يعني جزء منها فاخذنا i remember نص دور
اء region,
اء was moving out من هيئة السوق المالية وأنا كان يشتغل معي فهيئة السوق المالية, was moving out من هيئة السوق المالية وانا كان يشتغل معي في هيئة السوق المالية
here is what i want هذا ال mandate اللي عندي ,
ودي إني ودي إنك تجي قال ok خلاص جاي, ودي انك تيجي قالي اوكي خلاص جاي
طيب ما سألتني وش الراتب وش هذي قالي خلاص مو مشكلة جاي فكان من أول الأشخاص تركي النويصر samething كان جايني, طب ما سألتني وش الراتق ووش راتق قال لي خلاص مشكلة جاي فكان من أول أشخاص تركي نويسر same thing كان جاييني
mandate من سمو الأمير انه نبغى نستثمر اء في فرنسا, من سمو الأمير أنه نبغى نستثمر في فرنسا
فا تكلمت مع الprevious employer حقي السعودي الفرنسي capital وتركي كان رئيس الاستثمار هناك ال إدارة الأصول, فاتكلمت مع الـ previous employer حقي السعيد الفرنسي وتركيا كان رئيس الاستثماره هناك لإدارة الأصول
they couldn t comprehend what i was talking about ما كانوا مستوعبين إطلاقا ما هم مستوعبين, they couldn t comprehend what i was talking about ما كانوا مستوعبين اطلاق ما هم مستوعبين
فقلت you know what, فقلت you know what
i m not gonnna waste time اتصلت على تركي نفس الشيء فالعصر, i m not gonna waste time اصلت على تركي نفس الشاي في العاصر
اء قلت له here is the thing ابغاك تجي ومش عارف ايش, قلت له here is the thing ابوارك تيجي مش عرف ايش
قالي fine زي ردة يزيد ردة فعل يزيد بالضبط, يعني فاين زي ردت يزيد ردت فعل يزيد بالضغط
fine اليوم الثاني الساعة ستة الصباح حنا فالطيارة رايحين فرنسا انا وتركي ويزيد, fine اليوم الثاني ساعة 6 الصباح إنا في الطيار رايحين لفرنسيا أنا وتركيا يزيد
يعني هي both of them, يعني he both of them
بالاضافة طبعا لسلطان ومهند they were believers يعني ماكان عندهم حتى معلومات كاملة, بالاضافة طبعا السلطان و محمد ذور believers يعني ما كان عندهم حتى معلومات كاملة
بس they believed in the cause, بس they believed in the cause
and maybe personally in me بالتأكيد ب اءء اااء اء سمو الأمير محمد, and maybe personally in me بالتأكيد بسمو الامير محمد
we moved i remember لمبنى الصيانة فالمدينة الرقمية اخذنا نص دور سوينا أول شيء خمسة مكاتب كانت قزاز يعني أتذكر حتى كنت, وي موفد اي رميمبر لمبنى الصيانة في المدينة الرقمية أخذنا النص دور سواء أوشي خمسة مكاتب كانت إجزاز يعني اذاكر حتى كنت
جبنا مقاولين خلص خلصنا أول شيء i think خلال أسبوع الخمسة مكاتب, جبنى مقاولين خلص خلصنا اول شيء i think خلال اسبوع الخمسة مكاتب
today we are تقريبا ألف ثمان مية وشيء قريب الألفين شخص, today we are تقريبا 1800 أو شي قريب الـ 2000 شخص نشتغل في صندوق للثمارات العامة
اء مركو الملك عبدالله المالي اء one of the first tenants and i think, مركز الملك عبدالله المالي وone of the first tenants and i think
نفس القصة اللي صارت فالمدينة الرقمية ما كان فيه احد الان ال occupancy rate فيها تقريبا تسعة وتسعين بالمية او ثمانية وتسعين, نفس القصة اللي صارت في المدينة الرقمية ما كان فيها احد الان الاكبنسي رأيت فيها تقريبا 99 أو 98 
كلها بركات الصندوق الاستثمارات العامة وبالتأكيد رئاسة سمو الأمير انا if it wasn t for him none of this would have happened at all, كلها بركات صندوق السمراء العامة وبالتأكيد برئاسة اسمه الأمير and if it wasn t for him none of this would have happened at all
at all يعني,
hands down لولا الدعم اللي موجود والرؤية اللي موجودة عند سمو الأمير none of this would have happened ولا في مئة سنة, hands down اه لو لا الدعم الموجود والرؤية الموجودة انتمو الأمير none of this would have happened ولا في مائة سنة
الkpi s المؤشرات قياس الأداء اللي موجودة موجود فيها الصندوق, الـkpi s المؤشرات قياس الأداة اللي موجودة موجود فيها الصندوق
يعني لما صارت الاستراتيجية والvision realization program اللي تفضلت فيه برنامج تحقيق الرؤية, يعني لما صارت الاستراتيجية والفجل ريلازيشن بروغام اللي تفضل فيه برنامج تحقيق الرؤية
