gt,hyp
قلت لي إصابة padel أجل yeah, قلت لي صابت فاد الأجل يعم
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, واش علاقتك مع الرياضة اشوفك تلعبت نسمة على مير عديس فيصل واستحاد القولف والحين بادل واش قصتك مع الرياضة 
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, كان في الصلاة الموجودة وجايبين معاهم اعتقد ينايت ستيت سبورتس أكاديمي مدربين في كل انواع الرياضة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, and i was fortunate enough يعني محظوظ جدا إنه كان عندنا اعقصص لأن الوارد كان ضابط من الخائد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, ندور لهم على سبورتس ما فيها يعني اقل احتكاك جسدي أو يعني ما فيه اصابات ذاه 
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, بدأنا من هناك بدأت معاهم أروح معاهم كل ويكند وهذا
إعاقة او handicap, اعاقة و هانديكاب
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك, فكيف تقدر كل مرة تفوز على نفسك أو على الإعاقة حقيتك أو الهندكاب حقي
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديد القديمة نسبيا هيه هل لست تلاقي وقت للرياضة 
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, إذا احد تصل علي أوكي تعال خلن نجس نتقابل فـ
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, والآلة هذا أصبح في الموضوع أنهم متفاهمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, حتى السوشال اكتيبيتيز اللي تكون موجودة العائلة يكونون معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, فيها يكون فيها business فأصار جزء من نمط الحياة اصلا لو ما سوايت شي زي كذا حسنه فيه
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح نحن ابوبويسة سعدان اسليفك بصفتك المحافظ دي صندوق صمارات العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, دينامو الحراك حق التحول الاقتصادي في السعودية من 2015 إلى اليوم
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كانت رئيس تنفيذي للسعودي الفرنسي وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة, رحت للديوان أنا توزنت للاسندق الاستمارات العامة
